stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
254,Gravier De Lille,GRAVIER DE LILLE 59560 COMINES,50.736673,3.015192,1,,1,,,0
330,M.I.N.,M.I.N. 59320 ENNETIERES EN WEPPES,50.636523,2.96685,1,,1,,,0
6936,Ferry,FERRY 59260 HELLEMMES LILLE,50.624888,3.09919,1,,1,,,0
486,Innovation,INNOVATION 59260 HELLEMMES LILLE,50.62531,3.103371,1,,1,,,0
990,La Viscourt,LA VISCOURT 59126 LINSELLES,50.738518,3.101887,1,,1,,,0
6426,Lomme Hegel,LOMME HEGEL 59160 LOMME,50.628021,3.015552,1,,1,,,0
1020,Hotel De Ville,LOMME HOTEL DE VILLE 59160 LOMME,50.638877,3.012032,1,,1,,,0
8873,Montgolfier,LA MADELEINE MONTGOLFIER CLE_COMMUNE: 55,50.663157,3.075133,1,,1,,,0
2627,Cimetiere Bourg,CIMETIERE BOURG 59700 MARCQ EN BAROEUL,50.671827,3.081853,1,,1,,,0
2973,Hippodrome,HIPPODROME 59700 MARCQ EN BAROEUL,50.664277,3.08874,1,,1,,,0
9076,Isly,ISLY CLE_COMMUNE: 55,50.69504,3.130976,1,,1,,,0
1291,La Prevote,LA PREVOTE 59840 PERENCHIES,50.678133,2.963662,1,,1,,,0
1326,Gare,QUESNOY GARE 59890 QUESNOY SUR DEULE,50.708734,2.995305,1,,1,,,0
5520,Roncq Place,RONCQ PLACE 59223 RONCQ,50.753424,3.120708,1,,1,,,0
1620,Place Des Ecoles,PLACE DES ECOLES 59496 SALOME,50.53315,2.840247,1,,1,,,0
1642,Fenelon,FENELON 59113 SECLIN,50.548774,3.02832,1,,1,,,0
1760,Renaix,RENAIX 59200 TOURCOING,50.722428,3.171215,1,,1,,,0
6983,Tourcoing Gare,TOURCOING GARE 59200 TOURCOING,50.717307,3.167258,1,,1,,,0
1800,Conservatoire,CONSERVATOIRE 59200 TOURCOING,50.72429,3.162513,1,,1,,,0
8811,Carliers,CARLIERS CLE_COMMUNE: 80,50.710566,3.159885,1,,1,,,0
7635,Cimetiere,WATTIGNIES CIMETIERE,50.584609,3.041848,1,,1,,,0
7102,Hopital,HOPITAL 7700 MOUSCRON BELGIQUE,50.747243,3.21838,1,,1,,,0
5619,Eglise St Joseph,EGLISE SAINT JOSEPH 59510 HEM,50.663559,3.188494,1,,1,,,0
360,Bourget,BOURGET 59155 FACHES THUMESNIL,50.603168,3.056093,1,,1,,,0
2043,Mairie,WARNETON MAIRIE 59560 WARNETON,50.747203,2.951566,1,,1,,,0
7241,Jean Moulin,JEAN MOULIN 59100 ROUBAIX,50.684555,3.171825,1,,1,,,0
1416,Pont Rouge,PONT ROUGE 59100 ROUBAIX,50.679787,3.19614,1,,1,,,0
1476,Leon Marlot,LEON MARLOT 59100 ROUBAIX,50.673318,3.192387,1,,1,,,0
4415,Beaumont,BEAUMONT 59100 ROUBAIX,50.682275,3.176008,1,,1,,,0
6877,Petit Bondues,PETIT BONDUES 59910 BONDUES,50.718772,3.082087,1,,1,,,0
9151,Centre Impots,CENTRE DES IMPOTS CLE_COMMUNE: 68,50.673015,3.184378,1,,1,,,0
1415,Flandre,FLANDRE 59100 ROUBAIX,50.700405,3.178375,1,,1,,,0
2585,De Gaulle,DE GAULLE 59790 RONCHIN,50.603016,3.090696,1,,1,,,0
5415,Le Sart Sud,LE SART SUD 59650 VILLENEUVE D ASCQ,50.662585,3.138208,1,,1,,,0
7007,Blanchisserie,BLANCHISSERIE 59320 HAUBOURDIN,50.59161,2.982012,1,,1,,,0
7818,Harrison,HARRISSON CLE_COMMUNE: 84,50.606376,3.162866,1,,1,,,0
9097,Quai 22,QUAI 22 CLE_COMMUNE: 881,50.666341,3.058455,1,,1,,,0
9092,Vda C. Cial,CENTRE COMMERCIAL CLE_COMMUNE: 84,50.636946,3.121858,1,,1,,,0
5974,Fin De La Guerre,FIN DE LA GUERRE 59320 ESCOBECQUES,50.619082,2.9385,1,,1,,,0
709,Victor Hugo,LEERS VICTOR HUGO,50.682597,3.244799,1,,1,,,0
255,College St Joseph (F),COLLEGE ST JOSEPH (F) 59560 COMINES,50.761288,3.004455,1,,1,,,0
366,Rue De Tressin,FOREST RUE DE TRESSIN 59510 FOREST SUR MARQUE,50.632375,3.192871,1,,1,,,0
347,Moulin De Lesquin,MOULIN DE LESQUIN 59155 FACHES THUMESNIL,50.587588,3.087462,1,,1,,,0
1011,A.Thomas,A.THOMAS 59160 LOMME,50.647405,3.002497,1,,1,,,0
6276,Dhainaut,DHAINAUT 59120 LOOS,50.61356,3.005868,1,,1,,,0
1071,Eurasante Epi De Soil,LOOS EURASANTE EPI DE SOIL 59120 LOOS,50.601526,3.040592,1,,1,,,0
1123,Place Tiers,PLACE TIERS 59700 MARCQ EN BAROEUL,50.65841,3.102058,1,,1,,,0
1131,Rue De L'Eglise,RUE DE L'EGLISE 59700 MARCQ EN BAROEUL,50.665193,3.079609,1,,1,,,0
