route_id,service_id,trip_id,trip_headsign,direction_id,block_id
Z4,49929-__Z403-LAMJV,5207729,Bondues Bondues Ravennes,0,
60E,49978-_60E02-LAMJV,5214170,Leers Coeur De Ville,1,
65,49959-__6507-LAMJV,5210027,Armentieres Armentieres Gare,0,
66,49909-__6627-LAMJV,5206283,Forest Sur Marque Eglise,0,
82,49888-__8202-LAMJV,5203068,Armentieres Armentieres Gare,1,
82,49888-__8210-LAMJV,5203080,Armentieres Armentieres Gare,1,
82,49888-__8211-LAMJV,5203081,Armentieres Armentieres Gare,1,
82,49888-__8212-LAMJV,5203083,Armentieres Armentieres Gare,1,
82,49888-__8219-LAMJV,5203090,Tourcoing Pt De Neuville,0,
902,49683-_90217-LAJV,5177587,Bondues Les Saules,1,
921,49036-_92105-LAJV,5071173,Wattignies Cimetiere,1,
938,49043-_93802-LAJV,5071225,Armentieres Armentieres Gare,0,
CITH,49064-CITH01-LAMJV,5071724,Halluin Hotel De Ville,0,
CITH,49064-CITH01-LAMJV,5071729,Halluin Hotel De Ville,0,
CITH,49064-CITH01-LAMJV,5071730,Halluin Hotel De Ville,0,
CITH,49064-CITH03-LAMJV,5071735,Halluin Hotel De Ville,0,
CITH,49064-CITH04-LAMJV,5071738,Halluin Hotel De Ville,0,
CITH,49064-CITH04-LAMJV,5071739,Halluin Hotel De Ville,0,
CITH,49064-CITH06-LAMJV,5071742,Halluin Hotel De Ville,0,
CITH,49064-CITH06-LAMJV,5071751,Halluin Hotel De Ville,0,
65R,49431-_65R11-LAMJV,5118124,Armentieres Armentieres Gare,0,
69R,49435-_69R16-LAMJV,5118169,Sainghin En Melantois Cimetiere,1,
69R,49435-_69R18-LAMJV,5118171,Sainghin En Melantois Cimetiere,1,
20R,49389-_20R32-LAMJV,5117069,Lesquin Gare,0,
33,48838-__3301-LAMJV,5055632,Leers Coeur De Ville,0,
33,48838-__3303-LAMJV,5055667,Leers Coeur De Ville,0,
33,48838-__3304-LAMJV,5055684,Leers Coeur De Ville,0,
14,50030-__1401-LAMJV,5221458,Wattignies Cimetiere,1,
14,50030-__1401-LAMJV,5221462,Wattignies Marais,1,
14,50030-__1402-LAMJV,5221477,Wattignies Marais,1,
