route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
35,ILE,35,ROUBAIX EUROTELEPORT <> TOURCOING CENTRE,,3,,E84E0F,FFFFFF
907,ILE,907,GRAND ST ANDRE - COLLEGE DEBEYRE,,3,,C8C8C8,000000
924,ILE,924,PREMESQUES <> JEAN PERRIN,,3,,C8C8C8,000000
938,ILE,938,LA CHAPELLE D'ARMENTIÈRES - HOUPLINES,,3,,C8C8C8,000000
10,ILE,10,LOMME HEGEL / CHR <> GARE LILLE FLANDRES,,3,,007835,FFFFFF
20R,ILE,20R,SOIRÉE RÉSA 4 CANTONS,,3,,E7983E,FFFFFF
21R,ILE,21R,SOIRÉE RÉSA CHU EURASANTÉ,,3,,00ABE9,FFFFFF
22R,ILE,22R,SOIRÉE RÉSA SAINT PHILIBERT,,3,,D73742,FFFFFF
23R,ILE,23R,SOIRÉE RÉSA EUROTÉLÉPORT,,3,,C4D552,000000
24R,ILE,24R,SOIRÉE RÉSA TOURCOING CENTRE,,3,,F9D347,FFFFFF
25R,ILE,25R,RÉSA HAUBOURDIN CHU,,3,,D43933,FFFFFF
26R,ILE,26R,RÉSA WILLEMS<>BAISIEUX,,3,,71504E,FFFFFF
27R,ILE,27R,QUESNOY<>ARMENTIÈRES,,3,,3F6B43,FFFFFF
28R,ILE,28R,RÉSA ILLIES<>DON SAINGHIN,,3,,4B94CD,FFFFFF
29R,ILE,29R,RÉSA AUBERS<>WAVRIN,,3,,CE9CBE,FFFFFF
61R,ILE,61R,RÉSA LA BASSÉE - DON - ST PHILIBERT,,3,,9779B0,FFFFFF
62R,ILE,62R,RÉSA ILLIES<>SAINT PHILIBERT,,3,,95C11F,FFFFFF
64R,ILE,64R,RÉSA LA BASSÉE<>ST PHILIBERT,,3,,F39200,FFFFFF
65R,ILE,65R,RÉSA ARMENTIÈRES - BOIS GRENIER<> ST PHI,,3,,802E77,FFFFFF
69R,ILE,69R,RÉSA FRETIN<>4 CANTONS,,3,,F7E458,000000
70R,ILE,70R,RÉSA NOYELLES<>VENDEVILLE,,3,,E69741,FFFFFF
74R,ILE,74R,RÉSA LA BASSÉE<>ARMENTIÈRES,,3,,F6CC50,000000
75R,ILE,75R,RÉSA COMINES<>ST PHILIBERT,,3,,86BC56,FFFFFF
76R,ILE,76R,RÉSA DIMANCHE QUESNOY<>ST PHI,,3,,7D1811,FFFFFF
77R,ILE,77R,RÉSA MARQUETTE,,3,,353838,FFFFFF
82R,ILE,82R,RÉSA DIMANCHE ARMENTIÈRES<>TOURCOING,,3,,F39200,FFFFFF
L6,ILE,L6,FORT DE MONS <> V. D'ASCQ CONTRESCARPE,,3,,004F9F,FFFFFF
L7,ILE,L7,LILLE PORTE DES P. <> FACHES C. CIAL.,,3,,003770,FFFFFF
L8,ILE,L8,HEM BLANCHISSERIE <> TG RISQUONS TT,,3,,0080C9,FFFFFF
9,ILE,9,GARE LILLE FLANDRES<>GARE LILLE FLANDRES,,3,,AFCA0B,FFFFFF
34,ILE,34,ROUBAIX EUROTELEPORT <> VDA PONT DE BOIS,,3,,FFCC00,000000
62,ILE,62,LA BASSEE GARE <> LOMME ST PHILIBERT,,3,,95C11F,FFFFFF
68,ILE,68,4 CANTON STADE P.M. <> LESQUIN AEROPORT,,3,,802E77,FFFFFF
C8,ILE,C8,TOURCOING CLINQUET <> TOURCOING CENTRE,,3,,F088B6,FFFFFF
C9,ILE,C9,FORT DE MONS <> LILLE MONT DE TERRE,,3,,E6007E,FFFFFF
C10,ILE,C10,MARCQ PAVÉ STRATÉGIQUE <> MARCQ PAVÉ S.,,3,,E6007E,FFFFFF
236,ILE,236,LA BASSEE HDV / ARMENTIERES HDV,,3,,81592D,FFFFFF
L1,ILE,L1,WAMBRECHIES <> FACHES CENTRE COMMERCIAL,,3,,005CA9,FFFFFF
L2,ILE,L2,WATTIGNIES C.CIAL - LOOS LES OLIVEAUX,,3,,0080C9,FFFFFF
L90,ILE,L90,COMINES/QUESNOY/LILLE,,3,,00ACA5,FFFFFF
C12,ILE,C12,ROUBAIX EUROTELEPORT <> HEM ST PAUL,,3,,FF33FF,FFFFFF
L5,ILE,L5,MARCQ / LA MADELEINE<>HAUBOURDIN LE PARC,,3,,0080C9,FFFFFF
18,ILE,18,LOMME A.FRANCE <> V.D'ASCQ HÔTEL DE VILLE,,3,,76B82A,FFFFFF
52,ILE,52,LILLE PORTE DE DOUAI - LILLE FIVES,,3,,802E77,FFFFFF
61,ILE,61,LA BASSEE<>DON SAINGHIN<>SAINT PHILIBERT,,3,,A877B2,FFFFFF
